date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:50	538966/538966	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/search/label/che-khuyet-diem	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/search/label/che-khuyet-diem.html	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:51	538814/538814	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/search/label/son-moi	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/search/label/son-moi.html	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:52	541226/541226	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/p/he-thong-cua-hang.html	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/p/he-thong-cua-hang.html	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:52	541596/541596	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/search/label/tin-tuc	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/search/label/tin-tuc.html	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:53	14641/14641	---M--	200	added ('OK')	image/jpeg	etag:%22v4b65%22	http://3.bp.blogspot.com/-bxwOkVs9ETE/YJkicnlp9rI/AAAAAAAAS2Q/OQUK9QZKxJ0SwrrXObBlsERRiSrJdiqjACK4BGAYYCw/s1600/banner_menu.jpg	C:/xampp/htdocs/CNPM/temp/3.bp.blogspot.com/-bxwOkVs9ETE/YJkicnlp9rI/AAAAAAAAS2Q/OQUK9QZKxJ0SwrrXObBlsERRiSrJdiqjACK4BGAYYCw/s1600/banner_menu.jpg	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:54	539033/539033	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/p/lien-he.html	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/p/lien-he.html	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:54	25914/25914	---M--	200	added ('OK')	image/jpeg	etag:%22v308d%22	https://1.bp.blogspot.com/-5hfiO_Nwth8/Xsse35XFBtI/AAAAAAAAMIw/z_XDfP4QERwWJ65Vj7r4Ny7WbDTLeJewACLcBGAsYHQ/s1600/hinh-1.jpg	C:/xampp/htdocs/CNPM/temp/1.bp.blogspot.com/-5hfiO_Nwth8/Xsse35XFBtI/AAAAAAAAMIw/z_XDfP4QERwWJ65Vj7r4Ny7WbDTLeJewACLcBGAsYHQ/s1600/hinh-1.jpg	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:55	14392/14392	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Nov%202020%2015:31:54%20GMT	https://bizweb.dktcdn.net/thumb/grande/100/368/647/themes/739567/assets/banner_1.jpg?1593482331082	C:/xampp/htdocs/CNPM/temp/bizweb.dktcdn.net/thumb/grande/100/368/647/themes/739567/assets/banner_11160.jpg	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:55	11754/11754	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20May%202021%2019:56:29%20GMT	https://bizweb.dktcdn.net/thumb/grande/100/368/647/themes/739567/assets/banner_2.jpg?1593482331082	C:/xampp/htdocs/CNPM/temp/bizweb.dktcdn.net/thumb/grande/100/368/647/themes/739567/assets/banner_21160.jpg	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:59	59673/59673	---M--	200	added ('OK')	image/jpeg	etag:%22v4b68%22	http://3.bp.blogspot.com/-mJ0HVPuiH2s/YJkjgmDRqXI/AAAAAAAAS2c/JVnOkkFiI6cucYeR7IU7F8e2FLPebuIIACK4BGAYYCw/s1600/banner.jpg	C:/xampp/htdocs/CNPM/temp/3.bp.blogspot.com/-mJ0HVPuiH2s/YJkjgmDRqXI/AAAAAAAAS2c/JVnOkkFiI6cucYeR7IU7F8e2FLPebuIIACK4BGAYYCw/s1600/banner.jpg	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:59	541768/541768	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/search/label/my-pham-nu	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/search/label/my-pham-nu.html	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:59	530428/530428	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Oct%202021%2014:40:21%20GMT	https://template-nula-cosmcleticok.blogspot.com/search/lael/san-pham	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/search/lael/san-pham.19.delayed	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:00	7963/7963	---M--	200	added ('OK')	image/png	etag:%22v4b6b%22	http://4.bp.blogspot.com/-InTfLK3qHiw/YJnRvOTIvqI/AAAAAAAAS2o/hf2yAuZopvUtOg6OZ9xfIKXmFpQmAZLyQCK4BGAYYCw/s1600/logo.png	C:/xampp/htdocs/CNPM/temp/4.bp.blogspot.com/-InTfLK3qHiw/YJnRvOTIvqI/AAAAAAAAS2o/hf2yAuZopvUtOg6OZ9xfIKXmFpQmAZLyQCK4BGAYYCw/s1600/logo.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:01	3251/3251	---M--	200	added ('OK')	image/png	etag:%22v309c%22	https://1.bp.blogspot.com/-hFQawJOwJW8/XsugFJ0VGLI/AAAAAAAAMJs/fYs8w4a-jkgdeUfnYtBj3SB6hg3M8tLuQCLcBGAsYHQ/s1600/bocongthuong.png	C:/xampp/htdocs/CNPM/temp/1.bp.blogspot.com/-hFQawJOwJW8/XsugFJ0VGLI/AAAAAAAAMJs/fYs8w4a-jkgdeUfnYtBj3SB6hg3M8tLuQCLcBGAsYHQ/s1600/bocongthuong.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:02	530276/530276	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Oct%202021%2014:40:25%20GMT	https://template-nula-cosmcleticok.blogspot.com/cart	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/cart.1c.delayed	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:02	42792/42792	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-a728%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.1.4/owl.carousel.min.js	C:/xampp/htdocs/CNPM/temp/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.1.4/owl.carousel.min.js	(from https://template-nula-cosmcleticok.blogspot.com/)
